symbol,consolidated,period_end,broadcast_dt,revenue,shares_implied,check,shares_filed,shares,D
TCI,False,2018-03-31,2018-06-19 18:09:18,60525000.0,764871.1943793911,scale_error_dropped,,,2019-02-15
VISESHINFO,False,2018-03-31,2018-06-25 19:48:04,81110000.0,3380000000.0,scale_error_dropped,,,2019-02-15
VISESHINFO,False,2018-09-30,2019-01-28 18:09:50,597000.0,21500000.0,scale_error_dropped,,,2019-02-15
VISESHINFO,True,2018-03-31,2018-06-25 19:48:07,81715000.0,3614600000.0,scale_error_dropped,,,2019-02-15
VISESHINFO,True,2018-09-30,2018-11-22 22:40:13,597000.0,21500000.0,scale_error_dropped,,,2019-02-15
DLF,False,2018-12-31,2019-03-29 16:29:54,92434000.0,25419298.245614037,scale_error_dropped,,,2019-06-03
TCI,False,2018-03-31,2018-06-19 18:09:18,60525000.0,764871.1943793911,scale_error_dropped,,,2019-06-03
DLF,False,2018-12-31,2019-03-29 16:29:54,92434000.0,25419298.245614037,scale_error_dropped,,,2019-08-16
TCI,False,2018-03-31,2018-06-19 18:09:18,60525000.0,764871.1943793911,scale_error_dropped,,,2019-08-16
DLF,False,2018-12-31,2019-03-29 16:29:54,92434000.0,25419298.245614037,scale_error_dropped,,,2019-11-15
DLF,True,2019-06-30,2019-09-07 12:16:36,133119000.0,8136065.573770491,scale_error_dropped,,,2019-11-15
GAEL,False,2019-09-30,2019-11-09 18:28:14,908360000000.0,11456692913.385826,scale_error_dropped,,,2019-11-15
PIDILITIND,True,2019-09-30,2019-11-14 16:10:31,180658000.0,5078056.426332288,scale_error_dropped,,,2019-11-15
TCI,False,2018-03-31,2018-06-19 18:09:18,60525000.0,764871.1943793911,scale_error_dropped,,,2019-11-15
ARROWGREEN,True,2019-09-30,2019-11-15 14:49:44,569000.0,120100.50251256282,scale_error_dropped,,,2020-02-17
BRFL,False,2019-09-30,2019-11-14 19:27:34,99710000000.0,31744680851.063828,scale_error_dropped,,,2020-02-17
DLF,False,2018-12-31,2019-03-29 16:29:54,92434000.0,25419298.245614037,scale_error_dropped,,,2020-02-17
DLF,True,2019-06-30,2019-09-07 12:16:36,133119000.0,8136065.573770491,scale_error_dropped,,,2020-02-17
GAEL,False,2019-09-30,2019-11-09 18:28:14,908360000000.0,11456692913.385826,scale_error_dropped,,,2020-02-17
PIDILITIND,True,2019-09-30,2019-11-14 16:10:31,180658000.0,5078056.426332288,scale_error_dropped,,,2020-02-17
TCI,False,2018-03-31,2018-06-19 18:09:18,60525000.0,764871.1943793911,scale_error_dropped,,,2020-02-17
TTML,False,2019-09-30,2019-11-15 20:44:03,270350000000.0,195515075376.88443,scale_error_dropped,,,2020-02-17
ARROWGREEN,True,2019-09-30,2019-11-15 14:49:44,569000.0,120100.50251256282,scale_error_dropped,,,2020-06-01
BRFL,False,2019-09-30,2019-11-14 19:27:34,99710000000.0,31744680851.063828,scale_error_dropped,,,2020-06-01
DLF,False,2018-12-31,2019-03-29 16:29:54,92434000.0,25419298.245614037,scale_error_dropped,,,2020-06-01
DLF,True,2019-06-30,2019-09-07 12:16:36,133119000.0,8136065.573770491,scale_error_dropped,,,2020-06-01
GAEL,False,2019-09-30,2019-11-09 18:28:14,908360000000.0,11456692913.385826,scale_error_dropped,,,2020-06-01
PIDILITIND,True,2019-09-30,2019-11-14 16:10:31,180658000.0,5078056.426332288,scale_error_dropped,,,2020-06-01
TCI,False,2018-03-31,2018-06-19 18:09:18,60525000.0,764871.1943793911,scale_error_dropped,,,2020-06-01
TTML,False,2019-09-30,2019-11-15 20:44:03,270350000000.0,195515075376.88443,scale_error_dropped,,,2020-06-01
ARROWGREEN,True,2019-09-30,2019-11-15 14:49:44,569000.0,120100.50251256282,scale_error_dropped,,,2020-08-17
BRFL,False,2019-09-30,2019-11-14 19:27:34,99710000000.0,31744680851.063828,scale_error_dropped,,,2020-08-17
CAPLIPOINT,False,2020-06-30,2020-08-11 12:48:49,11973000.0,757117.1171171172,scale_error_dropped,,,2020-08-17
CAPLIPOINT,True,2020-06-30,2020-08-11 14:53:58,24008000.0,756588.0721220527,scale_error_dropped,,,2020-08-17
DLF,False,2018-12-31,2019-03-29 16:29:54,92434000.0,25419298.245614037,scale_error_dropped,,,2020-08-17
DLF,True,2019-06-30,2019-09-07 12:16:36,133119000.0,8136065.573770491,scale_error_dropped,,,2020-08-17
GAEL,False,2019-09-30,2019-11-09 18:28:14,908360000000.0,11456692913.385826,scale_error_dropped,,,2020-08-17
PIDILITIND,True,2019-09-30,2019-11-14 16:10:31,180658000.0,5078056.426332288,scale_error_dropped,,,2020-08-17
TCI,False,2018-03-31,2018-06-19 18:09:18,60525000.0,764871.1943793911,scale_error_dropped,,,2020-08-17
TTML,False,2019-09-30,2019-11-15 20:44:03,270350000000.0,195515075376.88443,scale_error_dropped,,,2020-08-17
ARROWGREEN,True,2019-09-30,2019-11-15 14:49:44,569000.0,120100.50251256282,scale_error_dropped,,,2020-11-17
BRFL,False,2019-09-30,2019-11-14 19:27:34,99710000000.0,31744680851.063828,scale_error_dropped,,,2020-11-17
CAPLIPOINT,False,2020-06-30,2020-08-11 12:48:49,11973000.0,757117.1171171172,scale_error_dropped,,,2020-11-17
CAPLIPOINT,True,2020-06-30,2020-08-11 14:53:58,24008000.0,756588.0721220527,scale_error_dropped,,,2020-11-17
DLF,False,2018-12-31,2019-03-29 16:29:54,92434000.0,25419298.245614037,scale_error_dropped,,,2020-11-17
DLF,True,2019-06-30,2019-09-07 12:16:36,133119000.0,8136065.573770491,scale_error_dropped,,,2020-11-17
GAEL,False,2019-09-30,2019-11-09 18:28:14,908360000000.0,11456692913.385826,scale_error_dropped,,,2020-11-17
HCC,True,2020-09-30,2020-11-12 17:40:57,181017000.0,8461587.301587302,scale_error_dropped,,,2020-11-17
MIC,False,2019-09-30,2019-12-14 18:17:15,480000000.0,22076923076.923077,scale_error_dropped,,,2020-11-17
ORTEL,False,2020-06-30,2020-09-16 18:54:29,1818000.0,328000.0,scale_error_dropped,,,2020-11-17
ORTEL,True,2020-06-30,2020-09-16 19:04:01,1818000.0,328000.0,scale_error_dropped,,,2020-11-17
PBAINFRA,False,2020-06-30,2020-08-25 18:41:25,2778104800000.0,1348310945945.946,scale_error_dropped,,,2020-11-17
PIDILITIND,True,2019-09-30,2019-11-14 16:10:31,180658000.0,5078056.426332288,scale_error_dropped,,,2020-11-17
SFL,False,2020-06-30,2020-08-20 15:32:10,12718000.0,490909.0909090909,scale_error_dropped,,,2020-11-17
SFL,False,2020-09-30,2020-11-01 15:49:48,42362000.0,487900.7238883144,scale_error_dropped,,,2020-11-17
SFL,True,2020-06-30,2020-08-20 15:36:28,26897000.0,487603.30578512396,scale_error_dropped,,,2020-11-17
SFL,True,2020-09-30,2020-11-01 15:52:13,60783000.0,487709.4972067039,scale_error_dropped,,,2020-11-17
TCI,False,2018-03-31,2018-06-19 18:09:18,60525000.0,764871.1943793911,scale_error_dropped,,,2020-11-17
TTML,False,2019-09-30,2019-11-15 20:44:03,270350000000.0,195515075376.88443,scale_error_dropped,,,2020-11-17
ARROWGREEN,True,2019-09-30,2019-11-15 14:49:44,569000.0,120100.50251256282,scale_error_dropped,,,2021-02-15
BRFL,False,2019-09-30,2019-11-14 19:27:34,99710000000.0,31744680851.063828,scale_error_dropped,,,2021-02-15
CAPLIPOINT,False,2020-06-30,2020-08-11 12:48:49,11973000.0,757117.1171171172,scale_error_dropped,,,2021-02-15
CAPLIPOINT,True,2020-06-30,2020-08-11 14:53:58,24008000.0,756588.0721220527,scale_error_dropped,,,2021-02-15
DLF,False,2018-12-31,2019-03-29 16:29:54,92434000.0,25419298.245614037,scale_error_dropped,,,2021-02-15
DLF,True,2019-06-30,2019-09-07 12:16:36,133119000.0,8136065.573770491,scale_error_dropped,,,2021-02-15
GAEL,False,2019-09-30,2019-11-09 18:28:14,908360000000.0,11456692913.385826,scale_error_dropped,,,2021-02-15
HCC,True,2020-09-30,2020-11-12 17:40:57,181017000.0,8461587.301587302,scale_error_dropped,,,2021-02-15
MIC,False,2019-09-30,2019-12-14 18:17:15,480000000.0,22076923076.923077,scale_error_dropped,,,2021-02-15
ORTEL,False,2020-06-30,2020-09-16 18:54:29,1818000.0,328000.0,scale_error_dropped,,,2021-02-15
ORTEL,False,2020-12-31,2021-02-12 16:05:17,1632000.0,330729.1666666667,scale_error_dropped,,,2021-02-15
ORTEL,True,2020-06-30,2020-09-16 19:04:01,1818000.0,328000.0,scale_error_dropped,,,2021-02-15
PBAINFRA,False,2020-06-30,2020-08-25 18:41:25,2778104800000.0,1348310945945.946,scale_error_dropped,,,2021-02-15
PIDILITIND,True,2019-09-30,2019-11-14 16:10:31,180658000.0,5078056.426332288,scale_error_dropped,,,2021-02-15
SFL,False,2020-06-30,2020-08-20 15:32:10,12718000.0,490909.0909090909,scale_error_dropped,,,2021-02-15
SFL,False,2020-09-30,2020-11-01 15:49:48,42362000.0,487900.7238883144,scale_error_dropped,,,2021-02-15
SFL,False,2020-12-31,2021-02-03 17:19:10,60470000.0,487742.33896185114,scale_error_dropped,,,2021-02-15
SFL,True,2020-06-30,2020-08-20 15:36:28,26897000.0,487603.30578512396,scale_error_dropped,,,2021-02-15
SFL,True,2020-09-30,2020-11-01 15:52:13,60783000.0,487709.4972067039,scale_error_dropped,,,2021-02-15
SFL,True,2020-12-31,2021-02-03 17:21:54,82588000.0,487773.98928397463,scale_error_dropped,,,2021-02-15
TCI,False,2018-03-31,2018-06-19 18:09:18,60525000.0,764871.1943793911,scale_error_dropped,,,2021-02-15
TTML,False,2019-09-30,2019-11-15 20:44:03,270350000000.0,195515075376.88443,scale_error_dropped,,,2021-02-15
ARROWGREEN,True,2019-09-30,2019-11-15 14:49:44,569000.0,120100.50251256282,scale_error_dropped,,,2021-06-01
BRFL,False,2019-09-30,2019-11-14 19:27:34,99710000000.0,31744680851.063828,scale_error_dropped,,,2021-06-01
CAPLIPOINT,False,2020-06-30,2020-08-11 12:48:49,11973000.0,757117.1171171172,scale_error_dropped,,,2021-06-01
CAPLIPOINT,True,2020-06-30,2020-08-11 14:53:58,24008000.0,756588.0721220527,scale_error_dropped,,,2021-06-01
DLF,False,2018-12-31,2019-03-29 16:29:54,92434000.0,25419298.245614037,scale_error_dropped,,,2021-06-01
DLF,True,2019-06-30,2019-09-07 12:16:36,133119000.0,8136065.573770491,scale_error_dropped,,,2021-06-01
GAEL,False,2019-09-30,2019-11-09 18:28:14,908360000000.0,11456692913.385826,scale_error_dropped,,,2021-06-01
HCC,True,2020-09-30,2020-11-12 17:40:57,181017000.0,8461587.301587302,scale_error_dropped,,,2021-06-01
JINDALSAW,True,2021-03-31,2021-05-28 12:19:09,378385000.0,3229411.7647058824,scale_error_dropped,,,2021-06-01
M&MFIN,False,2021-03-31,2021-04-24 17:31:57,260003000.0,12292622.950819673,scale_error_dropped,,,2021-06-01
M&MFIN,True,2021-03-31,2021-04-24 18:27:52,300056000.0,11633522.727272727,scale_error_dropped,,,2021-06-01
MIC,False,2019-09-30,2019-12-14 18:17:15,480000000.0,22076923076.923077,scale_error_dropped,,,2021-06-01
ORTEL,False,2020-06-30,2020-09-16 18:54:29,1818000.0,328000.0,scale_error_dropped,,,2021-06-01
ORTEL,False,2020-12-31,2021-02-12 16:05:17,1632000.0,330729.1666666667,scale_error_dropped,,,2021-06-01
ORTEL,True,2020-06-30,2020-09-16 19:04:01,1818000.0,328000.0,scale_error_dropped,,,2021-06-01
PBAINFRA,False,2020-06-30,2020-08-25 18:41:25,2778104800000.0,1348310945945.946,scale_error_dropped,,,2021-06-01
PIDILITIND,True,2019-09-30,2019-11-14 16:10:31,180658000.0,5078056.426332288,scale_error_dropped,,,2021-06-01
SFL,False,2020-06-30,2020-08-20 15:32:10,12718000.0,490909.0909090909,scale_error_dropped,,,2021-06-01
SFL,False,2020-09-30,2020-11-01 15:49:48,42362000.0,487900.7238883144,scale_error_dropped,,,2021-06-01
SFL,False,2020-12-31,2021-02-03 17:19:10,60470000.0,487742.33896185114,scale_error_dropped,,,2021-06-01
SFL,True,2020-06-30,2020-08-20 15:36:28,26897000.0,487603.30578512396,scale_error_dropped,,,2021-06-01
SFL,True,2020-09-30,2020-11-01 15:52:13,60783000.0,487709.4972067039,scale_error_dropped,,,2021-06-01
SFL,True,2020-12-31,2021-02-03 17:21:54,82588000.0,487773.98928397463,scale_error_dropped,,,2021-06-01
TCI,False,2018-03-31,2018-06-19 18:09:18,60525000.0,764871.1943793911,scale_error_dropped,,,2021-06-01
TTML,False,2019-09-30,2019-11-15 20:44:03,270350000000.0,195515075376.88443,scale_error_dropped,,,2021-06-01
ARROWGREEN,True,2019-09-30,2019-11-15 14:49:44,569000.0,120100.50251256282,scale_error_dropped,,,2021-08-16
BRFL,False,2019-09-30,2019-11-14 19:27:34,99710000000.0,31744680851.063828,scale_error_dropped,,,2021-08-16
CAPLIPOINT,False,2020-06-30,2020-08-11 12:48:49,11973000.0,757117.1171171172,scale_error_dropped,,,2021-08-16
CAPLIPOINT,True,2020-06-30,2020-08-11 14:53:58,24008000.0,756588.0721220527,scale_error_dropped,,,2021-08-16
DLF,False,2018-12-31,2019-03-29 16:29:54,92434000.0,25419298.245614037,scale_error_dropped,,,2021-08-16
DLF,True,2019-06-30,2019-09-07 12:16:36,133119000.0,8136065.573770491,scale_error_dropped,,,2021-08-16
GAEL,False,2019-09-30,2019-11-09 18:28:14,908360000000.0,11456692913.385826,scale_error_dropped,,,2021-08-16
GESHIP,False,2021-06-30,2021-07-29 18:10:31,62694000.0,1470518.5185185184,scale_error_dropped,,,2021-08-16
HCC,True,2020-09-30,2020-11-12 17:40:57,181017000.0,8461587.301587302,scale_error_dropped,,,2021-08-16
JINDALSAW,True,2021-03-31,2021-05-28 12:19:09,378385000.0,3229411.7647058824,scale_error_dropped,,,2021-08-16
M&MFIN,False,2021-03-31,2021-04-24 17:31:57,260003000.0,12292622.950819673,scale_error_dropped,,,2021-08-16
M&MFIN,True,2021-03-31,2021-04-24 18:27:52,300056000.0,11633522.727272727,scale_error_dropped,,,2021-08-16
MIC,False,2019-09-30,2019-12-14 18:17:15,480000000.0,22076923076.923077,scale_error_dropped,,,2021-08-16
ORTEL,False,2020-06-30,2020-09-16 18:54:29,1818000.0,328000.0,scale_error_dropped,,,2021-08-16
ORTEL,False,2020-12-31,2021-02-12 16:05:17,1632000.0,330729.1666666667,scale_error_dropped,,,2021-08-16
ORTEL,False,2021-06-30,2021-08-13 15:43:53,1047000.0,330141.8439716312,scale_error_dropped,,,2021-08-16
ORTEL,True,2020-06-30,2020-09-16 19:04:01,1818000.0,328000.0,scale_error_dropped,,,2021-08-16
ORTEL,True,2021-06-30,2021-08-13 15:49:08,1047000.0,330141.8439716312,scale_error_dropped,,,2021-08-16
PBAINFRA,False,2020-06-30,2020-08-25 18:41:25,2778104800000.0,1348310945945.946,scale_error_dropped,,,2021-08-16
